term,estimate,std.error,statistic,p.value,model,outcome,robust_se
(Intercept),-0.734819876941811,0.10314180905649493,-7.1243648299723,1.0456174630835435e-12,Unadjusted,cp1,0.07478759773284138
rasegrpNon-Black Sexual Minority Men,0.2888366179375711,0.11476008753143178,2.5168734544443536,0.011840134646463834,Unadjusted,cp1,0.0806662548373248
rasegrpBlack Heterosexual Men,0.35377063047834667,0.10874038941723714,3.2533507777034703,0.0011405261040927906,Unadjusted,cp1,0.07726358488576264
rasegrpBlack Sexual Minority Men,0.1940980383667595,0.10633287994914753,1.8253811846306114,0.06794352662459997,Unadjusted,cp1,0.07663285806088085
(Intercept),-2.4900407248574536,0.15249473898924987,-16.328699215210232,6.168556869982691e-60,Adjusted,cp1,0.09809154351627901
rasegrpNon-Black Sexual Minority Men,0.25982427521169216,0.11585401395086056,2.2426868638482955,0.02491701431872501,Adjusted,cp1,0.07391762385401979
rasegrpBlack Heterosexual Men,0.2786782983167963,0.10999781372438355,2.5334894292996375,0.01129331464064481,Adjusted,cp1,0.07075719992144443
rasegrpBlack Sexual Minority Men,0.31515902062520534,0.10772510866632101,2.925585543862497,0.0034380863747653497,Adjusted,cp1,0.07029902560029859
dt_0_age,0.022313391336425462,0.0015298736356370375,14.585120507115736,3.493046434282201e-48,Adjusted,cp1,9.432533829502554e-4
bmi,0.025023785704247927,0.002840032774479993,8.811090466668913,1.2393429658169868e-18,Adjusted,cp1,0.0015417239521861522
(Intercept),-0.06595796779151289,0.10660031795309281,-0.6187408167069096,0.5360871162903187,Unadjusted,monitored,0.02722170149685585
rasegrpNon-Black Sexual Minority Men,0.005966057163680269,0.11854028169087522,0.05032936549989246,0.9598599231312911,Unadjusted,monitored,0.029972371689832016
rasegrpBlack Heterosexual Men,0.01859027896864844,0.11228271723771095,0.16556670007630314,0.868497955033402,Unadjusted,monitored,0.028261267943181987
rasegrpBlack Sexual Minority Men,0.025024558865268387,0.10981806098714275,0.22787288939838599,0.8197450594060826,Unadjusted,monitored,0.027730633623473493
(Intercept),-0.07526936909870015,0.16347289408688473,-0.46043944789216856,0.6452008252260437,Adjusted,monitored,0.03484630615289803
rasegrpNon-Black Sexual Minority Men,0.007363085157528342,0.11975704931915646,0.061483521841837294,0.9509741372421605,Adjusted,monitored,0.03058201370783677
rasegrpBlack Heterosexual Men,0.020083548118249882,0.11356071418220873,0.17685295714172536,0.8596238908168533,Adjusted,monitored,0.028915976767566038
rasegrpBlack Sexual Minority Men,0.027346201178254696,0.11158022515678197,0.24508107184611255,0.8063936585522397,Adjusted,monitored,0.028376238235997997
dt_0_age,3.809182835317937e-5,0.001598259014247086,0.023833326146528142,0.9809855571730105,Adjusted,monitored,2.9879487526424716e-4
bmi,2.0875273354745036e-4,0.0029893679251918816,0.06983172990793729,0.9443275920009677,Adjusted,monitored,5.952192323674111e-4
(Intercept),-0.47000362924568295,0.13483994773326707,-3.4856408441763724,4.909596917482313e-4,Unadjusted,treat,0.08352138907852537
rasegrpNon-Black Sexual Minority Men,-0.0021528533610881955,0.14997384672185138,-0.014354858584650293,0.9885468733064485,Unadjusted,treat,0.09277258145852788
rasegrpBlack Heterosexual Men,0.14687480779814685,0.1410674466866763,1.0411672660693236,0.2977979249958474,Unadjusted,treat,0.08632170516153959
rasegrpBlack Sexual Minority Men,-0.08059996597670041,0.13924632750892363,-0.5788301021550112,0.5627038175182425,Unadjusted,treat,0.08653257192675773
(Intercept),-2.073942748985642,0.21482766315417628,-9.65398365617945,4.728243571001765e-22,Adjusted,treat,0.13034899424564025
rasegrpNon-Black Sexual Minority Men,-0.01644274465581308,0.15006639581374706,-0.10956979786614437,0.9127505642151854,Adjusted,treat,0.08598714732808369
rasegrpBlack Heterosexual Men,0.08049496528925185,0.14116699505703423,0.5702109424141975,0.5685346352919346,Adjusted,treat,0.07950826428175492
rasegrpBlack Sexual Minority Men,0.0563530351550289,0.13996877994503298,0.4026114621929208,0.6872340761196715,Adjusted,treat,0.08005496457573419
dt_0_age,0.02419041404941729,0.0021503734174143276,11.24940154743196,2.3316871217535124e-29,Adjusted,treat,0.0013651072344879852
bmi,0.011965704713913599,0.0037449464214649175,3.195160455522072,0.0013975311946452752,Adjusted,treat,0.0020178745791713634
(Intercept),-0.6706743247015705,0.1490709340399253,-4.499028123899361,6.826482713663345e-6,Unadjusted,control,0.1054022918862273
rasegrpNon-Black Sexual Minority Men,0.014470659338159357,0.16553994813199027,0.08741490801133657,0.9303417198599918,Unadjusted,control,0.11668880260237258
rasegrpBlack Heterosexual Men,-0.07350433584908175,0.1576068753991125,-0.46637772408687483,0.6409451534739443,Unadjusted,control,0.11174563720730164
rasegrpBlack Sexual Minority Men,-0.13903797047191002,0.1542305802185308,-0.9014941801742934,0.36732562678898,Unadjusted,control,0.1094505390525674
(Intercept),-0.3938400848013298,0.23738462703043647,-1.6590799906804128,0.0970996747011594,Adjusted,control,0.17241715310347203
rasegrpNon-Black Sexual Minority Men,0.019861770000371332,0.16878901104397767,0.11767217473178028,0.9063274149197303,Adjusted,control,0.1189708595097482
rasegrpBlack Heterosexual Men,-0.07334314161418716,0.16104838994163972,-0.45541058585413396,0.6488138809585117,Adjusted,control,0.11418399184034182
