stratification,variable,prop,n,se,lci,uci
18-29,a1,38.9041095890411,730,1.804439432548783,35.36740830124548,42.44081087683671
18-29,a2,38.21917808219178,730,1.7984819454579477,34.6941534690942,41.74420269528936
18-29,a3,10.41095890410959,730,1.1303459435954122,8.195480854662582,12.626436953556597
18-29,a4,20.136986301369863,730,1.484255457850205,17.22784560398346,23.046126998756268
18-29,b2,98.23943661971832,284,0.7803862230236644,96.70987962259193,99.7689936168447
18-29,b3,27.24014336917563,279,2.6653147958713532,22.016126369267777,32.46416036908349
18-29,b4,52.68817204301075,279,2.989092315604942,46.829551104425065,58.54679298159644
18-29,c3,26.76056338028169,284,2.6270053276578236,21.611632938072354,31.90949382249102
18-29,c4,51.76056338028169,284,2.965114310662544,45.9489393313831,57.572187429180275
18-29;Black Heterosexual Men,a1,34.4,125,4.248896327283122,26.07216319852508,42.727836801474915
18-29;Black Heterosexual Men,a2,33.6,125,4.224727210128484,25.319534668148176,41.88046533185183
18-29;Black Heterosexual Men,a3,6.4,125,2.189136816190345,2.109291840266924,10.690708159733076
18-29;Black Heterosexual Men,a4,17.599999999999998,125,3.406159127228204,10.923928110632719,24.27607188936728
18-29;Black Heterosexual Men,b2,97.67441860465115,43,2.298380677217501,93.16959247730485,102.17924473199747
18-29;Black Heterosexual Men,b3,19.047619047619047,42,6.059133431241445,7.171717522385815,30.923520572852283
18-29;Black Heterosexual Men,b4,52.38095238095239,42,7.706415178216067,37.276378631648896,67.48552613025586
18-29;Black Heterosexual Men,c3,18.6046511627907,43,5.934393390738866,6.973240116942521,30.236062208638874
18-29;Black Heterosexual Men,c4,51.162790697674424,43,7.622866331733389,36.22197268747698,66.10360870787187
18-29;Black Sexual Minority Men,a1,40.03868471953578,517,2.154915301635048,35.81505072833109,44.26231871074048
18-29;Black Sexual Minority Men,a2,39.65183752417795,517,2.151386370243525,35.435120238500645,43.86855480985526
18-29;Black Sexual Minority Men,a3,11.60541586073501,517,1.4086331693348317,8.844494848838739,14.36633687263128
18-29;Black Sexual Minority Men,a4,21.08317214700193,517,1.7939383572555219,17.56705296678111,24.599291327222755
18-29;Black Sexual Minority Men,b2,99.03381642512076,207,0.6798864880661061,97.7012389085112,100.36639394173035
18-29;Black Sexual Minority Men,b3,29.268292682926827,205,3.1778166394164824,23.039772069670523,35.496813296183134
18-29;Black Sexual Minority Men,b4,53.170731707317074,205,3.4851227087192087,46.33989119822743,60.00157221640673
18-29;Black Sexual Minority Men,c3,28.985507246376812,207,3.1533979022619305,22.804847357943427,35.166167134810195
18-29;Black Sexual Minority Men,c4,52.65700483091788,207,3.47032995224262,45.85515812452234,59.45885153731341
18-29;Non-Black Heterosexual Men,a1,31.57894736842105,19,10.663920529041638,10.67766313149944,52.48023160534267
18-29;Non-Black Heterosexual Men,a2,31.57894736842105,19,10.663920529041638,10.67766313149944,52.48023160534267
18-29;Non-Black Heterosexual Men,a3,10.526315789473683,19,7.040590042736196,-3.273240694289259,24.325872273236627
18-29;Non-Black Heterosexual Men,a4,15.789473684210526,19,8.36546751830554,-0.6068426516683295,32.18579002008938
18-29;Non-Black Heterosexual Men,b2,100,6,0,100,100
18-29;Non-Black Heterosexual Men,b3,33.33333333333333,6,19.245008972987527,-4.386884253722218,71.05355092038887
18-29;Non-Black Heterosexual Men,b4,50,6,20.41241452319315,9.991667534541426,90.00833246545858
18-29;Non-Black Heterosexual Men,c3,33.33333333333333,6,19.245008972987527,-4.386884253722218,71.05355092038887
18-29;Non-Black Heterosexual Men,c4,50,6,20.41241452319315,9.991667534541426,90.00833246545858
18-29;Non-Black Sexual Minority Men,a1,40.625,64,6.139153767774106,28.592258615162752,52.65774138483725
18-29;Non-Black Sexual Minority Men,a2,37.5,64,6.051536478449089,25.638988502239783,49.36101149776022
18-29;Non-Black Sexual Minority Men,a3,9.375,64,3.6435074426128184,2.233725412478875,16.516274587521124
18-29;Non-Black Sexual Minority Men,a4,20.3125,64,5.029059839681146,10.455542714224956,30.169457285775046
18-29;Non-Black Sexual Minority Men,b2,92.3076923076923,26,5.225894003744287,82.064940060353507,102.5504445550311
18-29;Non-Black Sexual Minority Men,b3,25,24,8.838834764831844,7.675883860929586,42.32411613907041
18-29;Non-Black Sexual Minority Men,b4,54.166666666666664,24,10.170707302692229,34.23208035338989,74.10125297994344
18-29;Non-Black Sexual Minority Men,c3,23.076923076923077,26,8.262863931224224,6.881709771723599,39.27213638212256
18-29;Non-Black Sexual Minority Men,c4,50,26,9.805806756909202,30.78061875645797,69.21938124354203
18-29;Unknown,a1,40,5,21.908902300206645,-2.94144850840502,82.94144850840503
18-29;Unknown,a2,40,5,21.908902300206645,-2.94144850840502,82.94144850840503
18-29;Unknown,a3,0,5,0,0,0
18-29;Unknown,a4,0,5,0,0,0
18-29;Unknown,b2,100,2,0,100,100
18-29;Unknown,b3,0,2,0,0,0
18-29;Unknown,b4,0,2,0,0,0
18-29;Unknown,c3,0,2,0,0,0
18-29;Unknown,c4,0,2,0,0,0
30-44,a1,48.042929292929294,1584,1.2553345448925997,45.5824735849398,50.50338500091879
30-44,a2,44.94949494949495,1584,1.249871811289391,42.49974619936774,47.399243699622154
30-44,a3,22.411616161616163,1584,1.0477492342251773,20.358027662534816,24.46520466069751
30-44,a4,19.12878787878788,1584,0.9882415583402477,17.191834424440994,21.065741333134763
30-44,b2,93.5611038107753,761,0.8897357717199708,91.81722169820415,95.30498592334644
30-44,b3,49.859550561797754,712,1.8738218298272733,46.186859775336295,53.53224134825921
30-44,b4,42.5561797752809,712,1.852946916651922,38.924403818643135,46.18795573191867
30-44,c3,46.64914586070959,761,1.8084237757260608,43.104635260286514,50.193656461132676
30-44,c4,39.816031537450726,761,1.7745043491325712,36.33800301315089,43.294060061750564
30-44;Black Heterosexual Men,a1,47.863247863247864,234,3.265616190533137,41.46264012980292,54.263855596692814
30-44;Black Heterosexual Men,a2,45.2991452991453,234,3.254124250409044,38.92106176834357,51.67722882994703
30-44;Black Heterosexual Men,a3,25.213675213675213,234,2.8387114143499645,19.649800841549283,30.777549585801147
30-44;Black Heterosexual Men,a4,20.51282051282051,234,2.639692294527907,15.339023615545816,25.68661741009521
30-44;Black Heterosexual Men,b2,94.64285714285714,112,2.1276565456138115,90.47265031345407,98.81306397226021
30-44;Black Heterosexual Men,b3,55.660377358490564,106,4.825209085468289,46.202967550972716,65.11778716600841
30-44;Black Heterosexual Men,b4,45.28301886792453,106,4.834769988284787,35.806869690886344,54.75916804496271
30-44;Black Heterosexual Men,c3,52.67857142857143,112,4.71777154482128,43.43173920072172,61.92540365642114
30-44;Black Heterosexual Men,c4,42.857142857142854,112,4.676097647914122,33.691991467231176,52.02229424705453
30-44;Black Sexual Minority Men,a1,50.17761989342806,1126,1.4900404858106235,47.25714054123924,53.09809924561688
30-44;Black Sexual Minority Men,a2,46.89165186500888,1126,1.4871677791824474,43.976803017811285,49.80650071220648
30-44;Black Sexual Minority Men,a3,23.44582593250444,1126,1.2625483264911912,20.971231212581706,25.92042065242718
30-44;Black Sexual Minority Men,a4,19.182948490230906,1126,1.1733835244374156,16.88311678233357,21.48278019812824
30-44;Black Sexual Minority Men,b2,93.45132743362832,565,1.040746961379453,91.41146338932458,95.49119147793205
30-44;Black Sexual Minority Men,b3,50,528,2.175970699446223,45.7350974290854,54.2649025709146
30-44;Black Sexual Minority Men,b4,40.909090909090914,528,2.1397019811165268,36.71527502610252,45.1029067920793
30-44;Black Sexual Minority Men,c3,46.72566371681416,565,2.099000487760492,42.61162276080359,50.83970467282472
30-44;Black Sexual Minority Men,c4,38.230088495575224,565,2.0444049194451046,34.22305485346281,42.23712213768763
30-44;Non-Black Heterosexual Men,a1,25.757575757575758,66,5.382779594633131,15.207327752094821,36.30782376305669
30-44;Non-Black Heterosexual Men,a2,24.242424242424242,66,5.275080483505995,13.903266494752492,34.58158199009599
30-44;Non-Black Heterosexual Men,a3,6.0606060606060606,66,2.937040512712484,0.30400665568959195,11.817205465522528
30-44;Non-Black Heterosexual Men,a4,12.121212121212121,66,4.0173816077552535,4.2471441700118255,19.99528007241242
30-44;Non-Black Heterosexual Men,b2,94.11764705882352,17,5.706720589090188,82.93247470420675,105.3028194134403
30-44;Non-Black Heterosexual Men,b3,25,16,10.825317547305483,3.7823776072812536,46.21762239271875
30-44;Non-Black Heterosexual Men,b4,50,16,12.5,25.5,74.5
30-44;Non-Black Heterosexual Men,c3,23.52941176470588,17,10.287936849355367,3.365055539969364,43.6937679894424
30-44;Non-Black Heterosexual Men,c4,47.05882352941176,17,12.105782480647683,23.331489867342306,70.78615719148122
30-44;Non-Black Sexual Minority Men,a1,42,150,4.029888335921976,34.101418861592926,49.898581138407074
30-44;Non-Black Sexual Minority Men,a2,39.33333333333333,150,3.988501992997891,31.515869427057464,47.1507972396092
30-44;Non-Black Sexual Minority Men,a3,18,150,3.136877428271625,11.851720240587616,24.148279759412382
30-44;Non-Black Sexual Minority Men,a4,19.333333333333332,150,3.224443678688936,13.013423723103019,25.653242943563647
30-44;Non-Black Sexual Minority Men,b2,93.65079365079364,63,3.072169528783307,87.62934137437837,99.67224592720893
30-44;Non-Black Sexual Minority Men,b3,45.76271186440678,59,6.486028516711329,33.050095971652574,58.475327757160976
30-44;Non-Black Sexual Minority Men,b4,49.152542372881356,59,6.5085104853936135,36.395861821509875,61.90922292425284
30-44;Non-Black Sexual Minority Men,c3,42.857142857142854,63,6.234796863885496,30.63694100392728,55.077344710358425
30-44;Non-Black Sexual Minority Men,c4,46.03174603174603,63,6.279537138492403,33.72385324030092,58.339638823191144
30-44;Unknown,a1,50,8,17.67766952966369,15.351767721859172,84.64823227814082
30-44;Unknown,a2,37.5,8,17.116329922036442,3.951993352808575,71.04800664719141
30-44;Unknown,a3,12.5,8,11.692679333668567,-10.417651493990391,35.41765149399039
30-44;Unknown,a4,25,8,15.309310892394862,-5.0062493490939275,55.00624934909393
30-44;Unknown,b2,75,4,21.650635094610966,32.56475521456251,117.4352447854375
30-44;Unknown,b3,33.33333333333333,3,27.216552697590867,-20.011109953944768,86.67777662061143
30-44;Unknown,b4,66.66666666666666,3,27.216552697590867,13.322223379388564,120.01110995394475
30-44;Unknown,c3,25,4,21.650635094610966,-17.435244785437494,67.4352447854375
30-44;Unknown,c4,50,4,25,1.0000000000000009,99
45-64,a1,75.92592592592592,2160,0.9199049782056301,74.1229121686429,77.72893968320896
45-64,a2,72.36111111111111,2160,0.962245808155699,70.475109327125935,74.24711289509628
45-64,a3,53.00925925925925,2160,1.0738784758456237,50.90445744660184,55.11406107191667
45-64,a4,34.629629629629626,2160,1.0237349272344127,32.623109172250174,36.63615008700908
45-64,b2,95.30487804878048,1640,0.5223469696458944,94.28107798827453,96.32867810928644
45-64,b3,73.25655790147152,1563,1.1195730022387873,71.06219481708351,75.45092098585955
45-64,b4,47.856685860524635,1563,1.2635462299321065,45.38013524985771,50.33323647119157
45-64,c3,69.8170731707317,1640,1.133547101387742,67.59532085201172,72.03882548945167
45-64,c4,45.609756097560975,1640,1.2298933521277307,43.19916512739063,48.02034706773133
45-64;Black Heterosexual Men,a1,76.55172413793103,725,1.5734898377122548,73.46768405601502,79.63576421984705
45-64;Black Heterosexual Men,a2,72.55172413793105,725,1.6573430079733493,69.30333184230328,75.80011643355881
45-64;Black Heterosexual Men,a3,56.137931034482754,725,1.8429084220014966,52.52583052735983,59.750031541605686
45-64;Black Heterosexual Men,a4,34.48275862068966,725,1.7652645479092164,31.02284010678759,37.942677134591726
45-64;Black Heterosexual Men,b2,94.77477477477477,555,0.9446096899932671,92.92333978238797,96.62620976716157
45-64;Black Heterosexual Men,b3,77.3764258555133,526,1.8242824035192797,73.80083234461551,80.9520193664111
